,segmentId,frc,speedLimit,streetName,distance,timeSet,dateRange,probeCount
0,-13600003425517,2,18,Jalan Trans Yogie,16.33,2,1,774
1,-13600001618936,5,50,Jalan Karya Bakti,34.33,2,1,1260
2,-13600002440919,5,50,Jalan Karya Bakti,10.44,2,1,1222
3,-13600001175418,5,50,Jalan Karya Bakti,284.25,2,1,935
4,-13600001957379,5,50,Jalan Karya Bakti,93.0,2,1,1208
5,-13600001028214,2,40,Jalan Raya Jambore,99.84,2,1,6683
6,-13600002087681,4,50,Jalan Taruna Jaya,37.74,2,1,1830
7,-13600001178783,4,50,Jalan Taruna Jaya,7.53,2,1,1692
8,-13600002356018,3,50,Jalan TPU Pondok Ranggon,16.09,2,1,2263
9,-13600001080275,3,50,Jalan TPU Pondok Ranggon,107.83,2,1,2638
10,-13600001989017,3,50,Jalan Mohammad Kahfi 1,7.17,2,1,3976
11,-13600001557488,3,50,Jalan Mohammad Kahfi 1,63.04,2,1,3935
12,-13600001471657,2,40,Jalan Raya Jambore,66.99,2,1,6049
13,-13600002819968,4,50,Jalan Jambore,71.14,2,1,2658
14,-13600001427391,3,50,Jalan TPU Pondok Ranggon,229.38,2,1,2806
15,-13600001313001,3,50,Jalan TPU Pondok Ranggon,32.79,2,1,3242
16,-13600002337631,4,30,Jalan Kukusan,74.91,2,1,2424
17,-13600001027676,3,50,Jalan TPU Pondok Ranggon,88.5,2,1,3197
18,-13600001340168,2,40,Jalan Raya Jambore,163.9,2,1,5954
19,-13600001559622,2,40,Jalan Raya Jambore,19.64,2,1,6130
20,-13600001341705,4,30,Jalan Kukusan,82.44,2,1,2111
21,-13600001118590,4,30,Jalan Kukusan,83.22,2,1,1941
22,-13600003534336,4,50,Jalan Taruna Jaya,42.82,2,1,1500
23,-13600002040321,2,40,Jalan Raya Jambore,155.21,2,1,6019
24,-13600002039149,2,40,Jalan Raya Jambore,30.27,2,1,6117
25,-13600001091919,3,50,Jalan Mohammad Kahfi 2,101.13,2,1,2986
26,-13600001287104,3,50,Jalan Mohammad Kahfi 1,159.17,2,1,5270
27,-13600001285710,2,40,Jalan Raya Jambore,38.27,2,1,6103
28,-13600001015528,4,50,Jalan Srengseng Sawah,79.42,2,1,2357
29,-13600001538485,4,50,Jalan Srengseng Sawah,97.83,2,1,2408
30,-13600001004222,3,50,Jalan Mohammad Kahfi 2,50.9,2,1,3029
31,-13600001017139,4,50,Jalan Srengseng Sawah,74.89,2,1,1861
32,-13600003126270,4,50,Jalan Srengseng Sawah,11.48,2,1,1898
33,-13600001005501,4,30,Jalan Srengseng Sawah,79.52,2,1,2411
34,-13600001427577,4,50,Jalan Srengseng Sawah,50.48,2,1,1880
35,-13600001395632,2,40,Jalan Raya Jambore,132.35,2,1,5971
36,-13600002316988,4,50,Jalan Srengseng Sawah,90.69,2,1,2488
37,-13600002588499,4,50,Jalan Srengseng Sawah,5.34,2,1,2580
38,-13600001285627,3,50,Jalan Mohammad Kahfi 2,126.25,2,1,2982
39,-13600003831455,4,50,Jalan Srengseng Sawah,7.31,2,1,2597
40,-13600001266678,4,50,Jalan Srengseng Sawah,38.92,2,1,1901
41,-13600001123843,2,40,Jalan Raya Jambore,18.6,2,1,6083
42,-13600001318698,3,50,Jalan Mohammad Kahfi 1,160.66,2,1,5265
43,-13600001379646,3,40,Jalan Sapi Perah,276.05,2,1,1956
44,-13600001028236,4,50,Jalan Srengseng Sawah,41.27,2,1,1905
45,-13600001437167,3,50,Jalan Raya Keranggan,26.7,2,1,4417
46,-13600003507446,3,50,Jalan Mohammad Kahfi 2,64.88,2,1,2977
47,-13600001028246,4,50,Jalan Taruna Jaya,100.74,2,1,1112
48,-13600001028762,4,50,Jalan Masjid,21.65,2,1,1158
49,-13600003850969,3,40,Jalan Sapi Perah,68.03,2,1,2063
50,-13600003547114,3,40,Jalan Sapi Perah,5.8,2,1,2084
51,-13600001231391,3,40,Jalan Sapi Perah,10.1,2,1,2082
52,-13600002507163,3,50,Jalan Mohammad Kahfi 2,51.53,2,1,3013
53,-13600003029665,4,50,Jalan Srengseng Sawah,72.18,2,1,1893
54,-13600001535569,3,50,Jalan Mohammad Kahfi 2,18.6,2,1,3066
55,-13600001166770,4,50,Jalan Masjid,78.32,2,1,1137
56,-13600001763901,4,50,Jalan Srengseng Sawah,85.29,2,1,1880
57,-13600001387464,4,50,Jalan Masjid,40.75,2,1,1183
58,-13600001379870,3,50,Jalan Mohammad Kahfi 2,92.74,2,1,2833
59,-13600001024075,3,50,Jalan Mohammad Kahfi 1,184.52,2,1,5280
60,-13600001288394,2,40,Jalan Raya Jambore,160.21,2,1,5831
61,-13600002142561,2,50,Jalan Akses UI,64.57,2,1,5900
62,-13600002693073,4,50,Jalan Masjid,57.96,2,1,1185
63,-13600001136867,3,50,Jalan Mohammad Kahfi 2,38.17,2,1,2913
64,-13600001379997,3,40,Jalan Sapi Perah,153.83,2,1,2009
65,-13600001593850,3,50,Jalan Mohammad Kahfi 2,31.05,2,1,2936
66,-13600001989013,3,50,Jalan Mohammad Kahfi 1,54.69,2,1,5507
67,-13600001550683,2,50,Jalan Akses UI,23.09,2,1,10375
68,-13600001485481,3,40,Jalan Sapi Perah,62.21,2,1,2032
69,-13600001231684,4,50,Jalan Masjid,59.85,2,1,1176
70,-13600001182022,3,40,Jalan Sapi Perah,11.73,2,1,2047
71,-13600001099890,2,50,Jalan Akses UI,91.14,2,1,10041
72,-13600001386715,4,30,Jalan Kukusan,137.07,2,1,2175
73,-13600001553808,4,50,Jalan Masjid,30.22,2,1,1186
74,-13600001015465,3,50,Jalan Mohammad Kahfi 2,101.18,2,1,2874
75,-13600001181994,3,50,Jalan Mohammad Kahfi 2,10.52,2,1,2961
76,-13600001747051,4,50,Jalan Masjid,48.29,2,1,1110
77,-13600001293971,4,30,Jalan Kukusan,79.03,2,1,2276
78,-13600002040401,3,50,Jalan Mohammad Kahfi 2,37.05,2,1,2967
79,-13600001017094,4,50,Jalan Srengseng Sawah,277.57,2,1,1833
80,-13600002723826,4,50,Jalan Srengseng Sawah,18.06,2,1,1895
81,-13600001989014,3,50,Jalan Mohammad Kahfi 1,165.08,2,1,5357
82,-13600002040400,3,50,Jalan Mohammad Kahfi 2,43.9,2,1,3019
83,-13600001573342,4,50,Jalan Masjid,80.41,2,1,1139
84,-13600001276734,2,40,Jalan Raya Jambore,165.5,2,1,5619
85,-13600002599878,4,50,Jalan Masjid,36.39,2,1,1186
86,-13600001476881,4,30,Jalan Kukusan,117.66,2,1,2319
87,-13600001558017,4,20,Jalan Srengseng Sawah,34.89,2,1,3079
88,-13600001215350,5,50,Jalan Tipar,194.76,2,1,268
89,-13600001927453,4,50,Jalan Srengseng Sawah,66.92,2,1,2069
90,-13600001856444,3,50,Jalan Mohammad Kahfi 1,74.51,2,1,5517
91,-13600004165199,4,20,Jalan Srengseng Sawah,3.83,2,1,2112
92,-13600001034577,4,50,Jalan Srengseng Sawah,71.01,2,1,1918
93,-13600001890176,4,20,Jalan Srengseng Sawah,41.77,2,1,2092
94,-13600001027744,4,20,Jalan Srengseng Sawah,90.8,2,1,2028
95,-13600001027745,4,20,Jalan Srengseng Sawah,4.98,2,1,2121
96,-13600001027742,4,20,Jalan Srengseng Sawah,42.09,2,1,2093
97,-13600001340826,3,50,Jalan Sapi Perah,12.75,2,1,2024
